;request_id;timestamp;user_id;movie_id;rating
0;0;874724710;258;254;4.0
1;1;874724727;258;285;4.0
2;2;874724754;258;297;4.0
3;3;874724781;258;184;4.0
4;4;874724843;258;172;4.0
5;5;874724882;258;107;4.0
6;6;874724882;258;771;4.0
7;7;874724905;258;287;3.0
8;8;874724937;258;927;4.0
9;9;874724988;258;116;4.0
10;10;874725081;258;199;4.0
11;11;874725120;258;404;3.0
12;12;874725264;258;1073;3.0
13;13;874725386;258;175;4.0
14;14;874725485;258;356;5.0
15;15;874725485;258;209;4.0
16;16;874728168;850;686;2.0
17;17;874728338;850;695;3.0
18;18;874728338;850;283;3.0
19;19;874728370;850;294;5.0
20;20;874728396;850;472;4.0
21;21;874728396;850;543;4.0
22;22;874728430;850;289;4.0
23;23;874728461;850;146;4.0
24;24;874728565;850;120;4.0
25;25;874728598;850;716;3.0
26;26;874729682;711;219;5.0
27;27;874729682;711;1039;4.0
28;28;874729749;711;509;2.0
29;29;874729750;711;49;4.0
30;30;874729750;711;730;5.0
31;31;874729750;711;416;4.0
32;32;874729778;711;622;4.0
33;33;874729778;711;384;5.0
34;34;874729816;711;65;5.0
35;35;874729816;711;96;5.0
36;36;874729850;711;552;5.0
37;37;874729850;711;968;4.0
38;38;874729850;711;78;4.0
39;39;874729850;711;95;5.0
40;40;874729901;711;180;5.0
41;42;874729901;711;171;5.0
42;43;874729935;711;41;1.0
43;44;874729935;711;401;4.0
44;45;874729935;711;497;3.0
45;46;874729935;711;233;2.0
46;47;874729935;711;420;4.0
47;48;874729935;711;738;4.0
48;49;874729960;711;422;3.0
49;50;874729995;711;98;4.0
50;51;874729995;711;173;5.0
51;52;874729995;711;691;5.0
52;53;874729996;711;811;4.0
53;54;874729996;711;1219;5.0
54;55;874729996;711;391;5.0
55;56;874730031;711;60;3.0
56;57;874730031;711;81;5.0
57;58;874730031;711;214;3.0
58;59;874730031;711;201;4.0
59;60;874730056;711;431;4.0
60;61;874730085;711;194;3.0
61;62;874730085;711;461;3.0
62;63;874730085;711;68;3.0
63;64;874730085;711;745;4.0
64;65;874730155;711;775;4.0
65;66;874730155;711;87;4.0
66;67;874730155;711;1054;4.0
67;68;874730155;711;176;2.0
68;69;874730179;711;3;4.0
69;70;874730206;711;784;5.0
70;71;874730206;711;237;3.0
71;72;874730206;711;1468;4.0
72;73;874730234;711;364;3.0
73;74;874730234;711;418;3.0
74;75;874730234;711;659;4.0
75;76;874730234;711;584;4.0
76;77;874730235;711;1502;4.0
77;78;874730261;711;559;3.0
78;79;874730261;711;71;4.0
79;80;874730261;711;227;3.0
80;81;874730261;711;70;5.0
81;82;874730293;711;72;5.0
82;83;874730293;711;621;4.0
83;85;874730320;711;392;3.0
84;86;874730320;711;661;5.0
85;87;874730320;711;140;3.0
86;88;874730342;711;583;4.0
87;89;874730370;711;731;5.0
88;90;874730370;711;948;4.0
89;91;874730370;711;377;4.0
90;92;874730370;711;715;5.0
91;93;874730396;711;190;3.0
92;94;874730396;711;195;4.0
93;95;874730396;711;82;4.0
94;96;874730420;711;58;2.0
95;97;874730443;711;135;1.0
96;98;874730467;711;229;3.0
97;99;874730467;711;654;5.0
98;100;874730467;711;403;3.0
99;101;874730490;711;1052;4.0
100;102;874730491;711;567;5.0
101;103;874730491;711;940;5.0
102;104;874730491;711;728;5.0
103;105;874730520;711;59;1.0
104;106;874730520;711;505;3.0
105;107;874730520;711;494;4.0
106;108;874730521;711;945;4.0
107;109;874730521;711;485;4.0
108;110;874730552;711;746;3.0
109;111;874730552;711;430;3.0
110;112;874730552;711;94;4.0
111;113;874730553;711;417;3.0
112;114;874730553;711;37;4.0
113;115;874767408;850;110;3.0
114;116;874767408;850;1013;3.0
115;117;874767408;850;844;3.0
116;118;874767519;850;741;5.0
117;119;874767550;850;814;3.0
118;120;874767550;850;823;4.0
119;121;874767550;850;404;5.0
120;122;874774286;118;299;5.0
121;124;874774449;118;321;4.0
122;125;874774449;118;322;4.0
123;126;874774575;118;274;5.0
124;127;874774575;118;865;3.0
125;128;874774575;118;457;5.0
126;129;874774575;118;99;5.0
127;131;874774719;118;454;4.0
128;132;874774815;118;740;4.0
129;133;874774956;118;234;5.0
130;134;874774956;118;812;4.0
131;135;874774956;118;717;5.0
132;136;874774993;118;276;4.0
133;138;874775038;118;236;5.0
134;139;874775136;118;1085;4.0
135;140;874775136;118;411;4.0
136;141;874775136;118;281;5.0
137;142;874775185;118;627;4.0
138;143;874775185;118;6;5.0
139;144;874775262;118;275;2.0
140;145;874775262;118;1015;5.0
141;146;874775262;118;92;4.0
142;147;874775262;118;124;5.0
143;148;874775311;118;221;5.0
144;149;874775311;118;120;4.0
145;150;874775406;118;828;5.0
146;151;874775406;118;981;4.0
147;152;874775406;118;822;3.0
148;153;874775406;118;741;5.0
149;155;874775406;118;471;4.0
150;156;874775465;118;761;4.0
151;157;874775465;118;596;4.0
152;158;874775465;118;286;4.0
153;160;874775535;118;923;4.0
154;161;874775580;118;825;4.0
155;162;874775580;118;474;4.0
156;163;874775580;118;108;5.0
157;164;874775580;118;273;4.0
158;165;874775614;118;256;4.0
159;166;874775647;118;472;3.0
160;167;874775680;118;1201;4.0
161;168;874775731;118;249;2.0
162;170;874775815;118;826;3.0
163;171;874775849;118;104;2.0
164;173;874775914;118;545;4.0
165;174;874775945;118;929;3.0
166;175;874775945;118;716;3.0
167;176;874775980;118;1033;3.0
168;177;874775980;118;830;2.0
169;178;874777260;639;789;4.0
170;179;874777440;639;10;4.0
171;180;874777491;639;11;5.0
172;181;874777491;639;495;4.0
173;182;874777528;639;55;5.0
174;183;874777528;639;381;4.0
175;184;874777528;639;179;5.0
176;185;874777583;639;169;5.0
177;186;874777623;639;133;5.0
178;187;874777623;639;473;4.0
179;188;874777658;639;769;4.0
180;189;874777701;639;63;5.0
181;190;874777735;639;174;5.0
182;191;874777735;639;46;4.0
183;192;874777735;639;80;5.0
184;193;874777765;639;54;5.0
185;194;874777833;639;460;4.0
186;195;874777890;639;168;5.0
187;196;874777925;639;181;5.0
188;197;874777948;639;317;5.0
189;198;874777974;639;203;5.0
190;199;874777998;639;90;4.0
191;200;874778065;639;84;5.0
192;201;874778065;639;69;4.0
193;202;874778065;639;3;4.0
194;203;874778095;639;940;5.0
195;204;874778096;639;579;5.0
196;205;874778154;639;208;5.0
197;206;874778181;639;188;5.0
198;207;874778207;639;692;5.0
199;208;874778240;639;95;5.0
200;209;874778240;639;200;4.0
201;210;874778240;639;662;5.0
202;211;874778274;639;213;5.0
203;212;874778274;639;356;5.0
204;213;874778274;639;52;4.0
205;214;874778274;639;238;5.0
206;215;874778299;639;1072;5.0
207;216;874778299;639;427;5.0
208;217;874778345;639;41;5.0
209;218;874778345;639;65;4.0
210;219;874778366;639;201;5.0
211;220;874778424;639;230;5.0
212;221;874778479;639;67;4.0
213;222;874778479;639;539;3.0
214;223;874778479;639;21;4.0
215;224;874778479;639;232;4.0
216;225;874778479;639;160;4.0
217;226;874778515;639;194;4.0
218;227;874778515;639;78;5.0
219;228;874778515;639;91;4.0
220;229;874778568;639;683;4.0
221;230;874778568;639;1;4.0
222;231;874778569;639;565;4.0
223;232;874778569;639;225;5.0
224;233;874778569;639;567;4.0
225;234;874778569;639;384;5.0
226;235;874778612;639;719;3.0
227;236;874778612;639;37;4.0
228;237;874778612;639;577;3.0
229;238;874778612;639;61;3.0
230;239;874778613;639;760;5.0
231;240;874778696;639;32;3.0
232;241;874778722;639;549;4.0
