;request_id;timestamp;user_id;movie_id;rating;status
0;16;874728168;850;686;2.0;cache_missed
1;17;874728338;850;695;3.0;cache_missed
2;18;874728338;850;283;3.0;cache_missed
3;19;874728370;850;294;5.0;cache_missed
4;20;874728396;850;472;4.0;cache_missed
5;21;874728396;850;543;4.0;cache_missed
6;22;874728430;850;289;4.0;cache_missed
7;23;874728461;850;146;4.0;cache_missed
8;24;874728565;850;120;4.0;cache_missed
9;25;874728598;850;716;3.0;cache_missed
10;115;874767408;850;110;3.0;cache_missed
11;116;874767408;850;1013;3.0;cache_missed
12;117;874767408;850;844;3.0;cache_missed
13;118;874767519;850;741;5.0;cache_missed
14;119;874767550;850;814;3.0;cache_missed
15;120;874767550;850;823;4.0;cache_missed
16;121;874767550;850;404;5.0;cache_missed
17;247;874780864;593;291;3.0;cache_missed
18;248;874780864;593;318;3.0;cache_missed
19;249;874780909;593;244;3.0;cache_missed
20;250;874780945;593;987;2.0;cache_missed
21;253;874781004;593;99;4.0;cache_missed
22;254;874781004;593;18;3.0;cache_missed
23;257;874781050;593;514;5.0;cache_missed
24;260;874781076;593;126;4.0;cache_missed
25;261;874781076;593;180;3.0;cache_missed
26;262;874781173;593;125;3.0;cache_missed
27;263;874781173;593;13;4.0;cache_missed
28;269;874781207;593;220;4.0;cache_missed
29;307;874783018;593;49;3.0;cache_missed
30;308;874783052;593;14;4.0;cache_missed
31;309;874783052;593;221;4.0;cache_missed
32;310;874783298;593;743;3.0;cache_missed
33;311;874783470;593;275;3.0;cache_missed
34;312;874784095;593;236;3.0;cache_missed
35;398;874786337;275;257;5.0;cache_missed
36;399;874786338;275;299;4.0;cache_missed
37;400;874786366;275;327;4.0;cache_missed
38;401;874786366;275;293;4.0;cache_missed
39;402;874786392;275;287;4.0;cache_missed
40;403;874786392;275;322;3.0;cache_missed
41;404;874786392;275;321;3.0;cache_missed
42;405;874786419;275;357;3.0;cache_missed
43;406;874786419;275;323;4.0;cache_missed
44;407;874786419;275;677;3.0;cache_missed
45;408;874786419;275;324;3.0;cache_missed
46;410;874786439;275;259;3.0;cache_missed
47;413;874786467;275;918;4.0;cache_missed
48;414;874786467;275;507;5.0;cache_missed
49;415;874786467;275;297;5.0;cache_missed
50;416;874786467;275;407;5.0;cache_missed
51;418;874786488;275;180;5.0;cache_hit
52;421;874786517;275;6;5.0;cache_missed
53;422;874786517;275;272;4.0;cache_missed
54;423;874786538;275;627;4.0;cache_missed
55;424;874786568;275;126;5.0;cache_hit
56;425;874786568;275;150;5.0;cache_missed
57;426;874786568;275;116;4.0;cache_missed
58;427;874786568;275;545;3.0;cache_missed
59;428;874786568;275;0;5.0;cache_missed
60;429;874786605;275;275;4.0;cache_hit
61;430;874786605;275;283;4.0;cache_hit
62;431;874786605;275;546;4.0;cache_missed
63;432;874786605;275;99;5.0;cache_hit
64;433;874786632;275;590;3.0;cache_missed
65;434;874786632;275;248;4.0;cache_missed
66;435;874786632;275;695;2.0;cache_hit
67;436;874786657;275;122;4.0;cache_missed
68;437;874786657;275;256;4.0;cache_missed
69;438;874786657;275;470;4.0;cache_missed
70;439;874786664;593;356;4.0;cache_missed
71;440;874786664;593;519;4.0;cache_missed
72;441;874786686;275;146;4.0;cache_hit
73;442;874786686;275;245;4.0;cache_missed
74;443;874786686;275;108;4.0;cache_missed
75;444;874786686;275;292;4.0;cache_missed
76;445;874786686;275;409;4.0;cache_missed
77;446;874786686;275;24;4.0;cache_missed
78;447;874786695;593;482;3.0;cache_missed
79;448;874786713;275;239;4.0;cache_missed
80;449;874786713;275;1015;3.0;cache_missed
81;450;874786713;275;454;4.0;cache_missed
82;451;874786734;275;234;4.0;cache_missed
83;453;874786756;275;474;5.0;cache_missed
84;454;874786756;275;236;5.0;cache_hit
85;455;874786756;275;741;4.0;cache_hit
86;458;874786784;275;1009;3.0;cache_missed
87;459;874786784;275;684;4.0;cache_missed
88;460;874786784;275;249;4.0;cache_missed
89;462;874786807;275;844;4.0;cache_hit
90;463;874786807;275;410;4.0;cache_missed
91;464;874786807;275;822;3.0;cache_missed
92;465;874786831;275;405;2.0;cache_missed
93;466;874786831;275;472;4.0;cache_hit
94;467;874786854;275;224;3.0;cache_missed
95;468;874786854;275;457;4.0;cache_missed
96;469;874786854;275;289;4.0;cache_hit
97;470;874786876;275;124;4.0;cache_missed
98;471;874786876;275;1128;4.0;cache_missed
99;473;874786897;275;839;3.0;cache_missed
100;474;874786897;275;120;4.0;cache_hit
101;476;874786924;275;147;3.0;cache_missed
102;477;874786924;275;107;3.0;cache_missed
103;478;874786924;275;2;3.0;cache_missed
104;479;874786924;275;149;4.0;cache_missed
105;481;874786945;275;973;2.0;cache_missed
106;483;874786964;275;117;3.0;cache_missed
107;486;874787006;275;251;3.0;cache_missed
108;487;874787006;275;824;3.0;cache_missed
109;490;874787044;275;404;3.0;cache_hit
110;491;874787044;275;1027;3.0;cache_missed
111;493;874787065;275;992;3.0;cache_missed
112;494;874787065;275;280;3.0;cache_missed
113;496;874787090;275;976;2.0;cache_missed
114;497;874787091;275;1244;3.0;cache_missed
115;498;874787109;275;471;3.0;cache_missed
116;502;874787150;275;596;3.0;cache_missed
117;503;874787150;275;1012;3.0;cache_missed
118;504;874787150;275;121;3.0;cache_missed
119;506;874787172;275;119;2.0;cache_missed
120;507;874787172;275;929;2.0;cache_missed
121;508;874787195;275;20;3.0;cache_missed
122;509;874787195;275;594;2.0;cache_missed
123;512;874787214;275;762;3.0;cache_missed
124;513;874787237;275;455;2.0;cache_missed
125;516;874787300;275;1078;2.0;cache_missed
126;520;874787353;275;1005;3.0;cache_missed
127;521;874787353;275;191;5.0;cache_missed
128;522;874787353;275;213;5.0;cache_missed
129;523;874787353;275;179;5.0;cache_missed
130;525;874787376;275;174;5.0;cache_missed
131;526;874787387;531;760;4.0;cache_missed
132;527;874787407;275;581;3.0;cache_missed
