;request_id;timestamp;user_id;movie_id;rating
0;1917;874950889;20;257;4.0
1;1918;874950889;20;747;1.0
2;1919;874950889;20;323;4.0
3;1920;874950889;20;318;2.0
4;1921;874950889;20;285;3.0
5;1922;874950889;20;291;3.0
6;1923;874950889;20;871;2.0
7;1924;874950889;20;325;5.0
8;1925;874950889;20;299;3.0
9;1926;874950931;20;324;4.0
10;1927;874950931;20;261;4.0
11;1928;874950931;20;298;1.0
12;1929;874950932;20;994;2.0
13;1930;874950932;20;287;3.0
14;1931;874950932;20;875;2.0
15;1932;874950932;20;872;2.0
16;1933;874950932;20;326;3.0
17;1939;874950972;20;263;3.0
18;1940;874950972;20;687;1.0
19;1941;874950972;20;259;2.0
20;1942;874950972;20;288;3.0
21;1943;874950972;20;679;1.0
22;1944;874950972;20;322;2.0
23;1945;874950972;20;876;2.0
24;1946;874950972;20;320;3.0
25;1949;874951005;20;321;3.0
26;1950;874951005;20;873;2.0
27;1951;874951005;20;258;2.0
28;1952;874951005;20;677;2.0
29;1953;874951005;20;874;4.0
30;1954;874951005;20;327;3.0
31;1955;874951005;20;987;1.0
32;1956;874951005;20;686;2.0
33;1957;874951006;20;244;1.0
34;1958;874951006;20;260;1.0
35;1961;874951039;20;988;3.0
36;1962;874951039;20;990;2.0
37;1963;874951039;20;877;2.0
38;1964;874951039;20;242;2.0
39;1965;874951039;20;989;2.0
40;1966;874951040;20;329;4.0
41;1967;874951040;20;983;1.0
42;1968;874951040;20;262;1.0
43;1969;874951054;20;300;4.0
44;1970;874951054;20;947;1.0
45;1971;874951054;20;456;1.0
46;1975;874951104;20;993;2.0
47;1976;874951131;20;49;3.0
48;1977;874951188;20;8;5.0
49;1978;874951188;20;14;4.0
50;1979;874951188;20;126;5.0
51;1980;874951188;20;407;5.0
52;1981;874951244;20;0;5.0
53;1982;874951245;20;239;4.0
54;1983;874951245;20;472;3.0
55;1984;874951245;20;102;1.0
56;1985;874951245;20;992;4.0
57;1986;874951292;20;546;2.0
58;1987;874951292;20;99;5.0
59;1988;874951292;20;843;4.0
60;1989;874951292;20;6;5.0
61;1990;874951293;20;412;2.0
62;1991;874951293;20;405;1.0
63;1992;874951293;20;759;1.0
64;1993;874951293;20;833;1.0
65;1994;874951293;20;369;1.0
66;1995;874951293;20;423;1.0
67;1996;874951314;20;766;1.0
68;1997;874951314;20;757;1.0
69;1998;874951349;20;991;2.0
70;1999;874951349;20;272;4.0
